metric_code,metric_name,tool_name,dimension,definition,measurement_scale,high_score_characteristics,low_score_characteristics
SKILL_001,데이터 분석,Competency Framework,Technical Skill,"대량의 데이터를 수집, 정제, 분석하여 비즈니스 인사이트를 도출하고 의사결정을 지원하는 능력. 통계적 분석, 데이터 시각화, 패턴 인식을 포함함",1-5점 척도,"복잡한 데이터에서 핵심 인사이트 도출, 예측 모델 구축, 데이터 기반 전략 수립, 고급 분석 도구 활용","기초적 데이터 처리만 가능, 분석 결과 해석 어려움, 단순 집계 수준, 데이터 품질 검증 미흡"
SKILL_002,커뮤니케이션,Competency Framework,Soft Skill,"다양한 이해관계자와 명확하고 효과적으로 의사소통하는 능력. 경청, 설득, 프레젠테이션, 문서 작성, 갈등 조정을 포함함",1-5점 척도,"복잡한 내용을 명확히 전달, 이해관계자 설득, 갈등 중재, 효과적 프레젠테이션, 문서화 우수","의사전달 불분명, 오해 빈발, 소극적 의견 표현, 문서 작성 미흡, 갈등 상황 회피"
SKILL_003,Python 프로그래밍,Competency Framework,Technical Skill,"Python 언어를 활용한 소프트웨어 개발, 데이터 처리, 자동화 스크립트 작성 능력. 라이브러리 활용, 코드 최적화, 디버깅 포함",1-5점 척도,"고급 라이브러리 활용, 효율적 알고리즘 구현, 복잡한 시스템 개발, 코드 리뷰 및 멘토링","기본 문법만 이해, 단순 스크립트 작성, 라이브러리 의존도 높음, 디버깅 어려움"
SKILL_004,프로젝트 관리,Competency Framework,Management Skill,"프로젝트의 계획 수립부터 완료까지 전 과정을 체계적으로 관리하는 능력. 일정 관리, 자원 배분, 위험 관리, 품질 관리를 포함함",1-5점 척도,"복잡한 프로젝트 성공적 완수, 일정 단축 달성, 예산 절감, 팀 생산성 향상, 위험 사전 대응","일정 지연 빈발, 예산 초과, 품질 기준 미달, 팀 갈등 관리 미흡, 위험 대응 부족"
SKILL_005,협업,Competency Framework,Soft Skill,"다양한 부서 및 팀원들과 효과적으로 협력하여 공동 목표를 달성하는 능력. 팀워크, 지식 공유, 상호 지원, 시너지 창출을 포함함",1-5점 척도,"크로스팀 협업 주도, 지식 공유 활발, 갈등 해결 기여, 팀 시너지 창출, 협업 문화 조성","개인 업무 위주, 정보 공유 소극적, 타 부서와 소통 부족, 협업 회피, 사일로 현상"
SKILL_006,문제 해결,Competency Framework,Soft Skill,"복잡하고 모호한 문제를 체계적으로 분석하고 창의적이며 실용적인 해결책을 도출하는 능력. 논리적 사고, 창의적 접근, 대안 모색을 포함함",1-5점 척도,"복잡한 문제 신속 해결, 창의적 솔루션 제시, 근본 원인 파악, 예방적 조치 수립, 문제 해결 프로세스 개선","문제 인식 부족, 표면적 해결, 반복적 문제 발생, 해결책 부족, 문제 회피 경향"
SKILL_007,기술 전문성,Competency Framework,Technical Skill,"담당 분야의 깊이 있는 기술적 지식과 실무 경험을 바탕으로 한 전문성. 최신 기술 동향 파악, 기술적 의사결정, 기술 멘토링을 포함함",1-5점 척도,"업계 최신 기술 선도, 기술적 의사결정 주도, 전문가로 인정, 기술 멘토링 제공, 혁신 기술 도입","기본 기술만 보유, 최신 동향 파악 부족, 기술적 판단 미흡, 의존적 업무 수행, 학습 의지 부족"
SKILL_008,학습 민첩성,Competency Framework,Soft Skill,"변화하는 환경에서 새로운 기술, 지식, 스킬을 빠르게 습득하고 적용하는 능력. 자기주도 학습, 적응력, 성장 마인드를 포함함",1-5점 척도,"신기술 빠른 습득, 자기주도 학습, 변화 적응 우수, 지속적 성장, 학습 내용 실무 적용","학습 속도 느림, 변화 저항, 기존 방식 고수, 새로운 도전 회피, 성장 정체"
SKILL_009,비즈니스 이해도,Competency Framework,Business Skill,"조직의 비즈니스 모델, 시장 환경, 고객 니즈를 이해하고 업무에 적용하는 능력. 시장 분석, 고객 관점, 수익성 고려를 포함함",1-5점 척도,"시장 트렌드 파악, 고객 니즈 이해, 비즈니스 임팩트 고려, 수익성 개선 기여, 전략적 사고","기술 중심 사고, 비즈니스 맥락 이해 부족, 고객 관점 부재, 단순 업무 처리, 시장 변화 무관심"
SKILL_010,창의성,Competency Framework,Soft Skill,"기존 관념에서 벗어나 새롭고 독창적인 아이디어를 창출하고 실행하는 능력. 혁신적 사고, 아이디어 구현, 실험 정신을 포함함",1-5점 척도,"혁신적 아이디어 제시, 창의적 솔루션 개발, 새로운 접근법 시도, 실험 정신, 변화 주도","관습적 사고, 새로운 시도 부족, 아이디어 부족, 변화 저항, 안전한 방법만 선호"
