trait_id,employee_id,assessment_date,tool_name,openness,conscientiousness,extraversion,agreeableness,neuroticism,primary_strength,motivation_driver
TRAIT001,EMP000,2010-04-18,Big-5 성격검사,72,68,71,89,41,매우 높은 친화성,관계
TRAIT002,DIV001,2012-11-26,Big-5 성격검사,61,88,73,61,53,매우 높은 성실성,안정
TRAIT003,DIV002,2016-04-18,Big-5 성격검사,58,64,64,41,17,성실성 우세,영향력
TRAIT004,DIV003,2015-09-01,Big-5 성격검사,56,57,65,55,22,외향성 우세,영향력
TRAIT005,TL001,2020-08-18,Big-5 성격검사,86,67,61,48,36,매우 높은 개방성,자율성
TRAIT006,TL002,2015-12-27,Big-5 성격검사,66,56,66,59,40,개방성 우세,자율성
TRAIT007,TL003,2017-01-16,Big-5 성격검사,55,92,59,53,58,매우 높은 성실성,영향력
TRAIT008,TL004,2017-11-13,Big-5 성격검사,46,72,24,49,48,높은 성실성,영향력
TRAIT009,TL005,2016-08-01,Big-5 성격검사,76,72,57,63,21,높은 개방성,인정
TRAIT010,TL006,2015-09-02,Big-5 성격검사,54,64,79,72,16,높은 외향성,성취
TRAIT011,TL007,2014-09-27,Big-5 성격검사,69,65,47,76,61,높은 친화성,안정
TRAIT012,TL008,2019-06-15,Big-5 성격검사,78,59,54,72,60,높은 개방성,영향력
TRAIT013,TL009,2016-05-13,Big-5 성격검사,57,67,40,51,58,성실성 우세,성취
TRAIT014,TL010,2015-05-31,Big-5 성격검사,85,69,78,73,34,매우 높은 개방성,자율성
TRAIT015,EMP001,2023-12-06,Big-5 성격검사,70,88,59,89,10,매우 높은 친화성,안정
TRAIT016,EMP002,2024-09-15,Big-5 성격검사,77,71,54,69,13,높은 개방성,안정
TRAIT017,EMP004,2021-05-31,Big-5 성격검사,61,74,86,60,32,매우 높은 외향성,전문성
TRAIT018,EMP005,2023-05-13,Big-5 성격검사,57,80,65,60,53,매우 높은 성실성,성취
TRAIT019,EMP006,2024-09-14,Big-5 성격검사,66,81,47,63,38,매우 높은 성실성,성장
TRAIT020,EMP007,2018-07-13,Big-5 성격검사,43,73,64,68,41,높은 성실성,영향력
TRAIT021,EMP008,2020-06-14,Big-5 성격검사,43,64,53,56,42,성실성 우세,관계
TRAIT022,EMP009,2016-11-27,Big-5 성격검사,71,92,63,71,43,매우 높은 성실성,영향력
TRAIT023,EMP010,2021-07-03,Big-5 성격검사,36,69,61,100,41,매우 높은 친화성,자율성
TRAIT024,EMP011,2015-06-06,Big-5 성격검사,69,69,38,83,57,매우 높은 친화성,관계
TRAIT025,EMP012,2018-11-27,Big-5 성격검사,76,59,85,48,54,매우 높은 외향성,성장
TRAIT026,EMP013,2022-07-07,Big-5 성격검사,97,58,49,69,36,매우 높은 개방성,영향력
TRAIT027,EMP014,2022-01-07,Big-5 성격검사,41,70,40,74,30,높은 친화성,관계
TRAIT028,EMP015,2016-04-13,Big-5 성격검사,88,60,54,79,25,매우 높은 개방성,자율성
TRAIT029,EMP016,2021-12-08,Big-5 성격검사,68,85,31,70,49,매우 높은 성실성,전문성
TRAIT030,EMP017,2023-04-14,Big-5 성격검사,76,55,36,75,49,높은 개방성,자율성
TRAIT031,EMP018,2020-06-05,Big-5 성격검사,68,74,47,71,49,높은 성실성,성취
TRAIT032,EMP019,2020-01-13,Big-5 성격검사,54,92,68,51,55,매우 높은 성실성,자율성
TRAIT033,EMP020,2019-12-25,Big-5 성격검사,50,79,80,56,60,매우 높은 외향성,자율성
TRAIT034,EMP021,2023-10-13,Big-5 성격검사,71,79,94,64,32,매우 높은 외향성,전문성
TRAIT035,EMP022,2020-07-13,Big-5 성격검사,51,60,58,72,49,높은 친화성,인정
TRAIT036,EMP023,2022-06-19,Big-5 성격검사,77,70,86,64,88,매우 높은 외향성,관계
TRAIT037,EMP024,2023-05-20,Big-5 성격검사,74,59,40,74,41,높은 개방성,안정
TRAIT038,EMP025,2024-04-05,Big-5 성격검사,75,75,58,56,20,높은 개방성,관계
TRAIT039,EMP026,2020-10-30,Big-5 성격검사,58,80,63,50,47,매우 높은 성실성,인정
TRAIT040,EMP027,2016-02-08,Big-5 성격검사,70,59,62,68,26,높은 개방성,전문성
TRAIT041,EMP028,2015-05-19,Big-5 성격검사,70,76,79,82,22,매우 높은 친화성,안정
TRAIT042,EMP029,2020-01-24,Big-5 성격검사,50,76,69,75,90,높은 성실성,전문성
TRAIT043,EMP030,2022-10-27,Big-5 성격검사,73,83,77,77,39,매우 높은 성실성,자율성
TRAIT044,EMP031,2021-10-13,Big-5 성격검사,76,60,55,61,46,높은 개방성,안정
TRAIT045,EMP032,2020-05-30,Big-5 성격검사,99,47,72,45,37,매우 높은 개방성,전문성
TRAIT046,EMP033,2017-08-18,Big-5 성격검사,81,70,40,57,55,매우 높은 개방성,자율성
TRAIT047,EMP034,2023-03-06,Big-5 성격검사,54,72,60,58,79,높은 성실성,자율성
TRAIT048,EMP035,2018-05-22,Big-5 성격검사,74,45,63,58,58,높은 개방성,관계
TRAIT049,EMP036,2017-08-27,Big-5 성격검사,53,68,69,80,25,매우 높은 친화성,자율성
TRAIT050,EMP037,2024-02-23,Big-5 성격검사,59,64,48,92,51,매우 높은 친화성,성장
TRAIT051,EMP038,2015-12-21,Big-5 성격검사,46,81,98,82,20,매우 높은 외향성,관계
TRAIT052,EMP039,2022-11-16,Big-5 성격검사,57,85,47,74,57,매우 높은 성실성,안정
TRAIT053,EMP040,2016-12-09,Big-5 성격검사,51,69,20,53,40,성실성 우세,안정
