review_id,employee_id,review_type,evaluation_period_start,evaluation_period_end,self_evaluation_timestamp,self_rating,self_comment,manager_evaluation_timestamp,manager_rating,manager_comment,rating_gap,evaluation_status
CR00001,EMP000,목표 달성 평가,2010-04-26,2010-08-05,2010-08-12 18:19:00,B,"프로세스 자동화 방안 제안 및 실행하고, 중요 deliverable 4건 완료하며 기대 이상의 결과를 냈다고 자평합니다. 커뮤니케이션 개선로 협업 효율성 증대하는 과정도 개인 성장에 도움이 되었습니다.",2010-08-14 10:55:00,C,목표 달성률 78%로 개선이 필요합니다. 시간 관리 미흡가 주된 원인으로 파악됩니다. 업무 범위 재조정 예정.,1,완료
CR00002,EMP000,수시 평가,2010-06-29,2010-08-26,2010-08-31 14:55:00,S,"외부 파트너와 9회 이상 협업 프로젝트 수행하며 팀워크를 강화했고, 중요 deliverable 6건 완료하는 성과를 냈습니다. 향후 더 큰 책임의 역할에 도전하고 싶습니다.",2010-09-10 09:44:00,S,창의적 문제 해결 능력으로 프로젝트를 성공으로 이끌었습니다. 팀원들의 롤모델로 평가됩니다.,0,완료
CR00003,EMP000,프로젝트 종료 평가,2010-02-21,2010-04-02,2010-04-09 12:24:00,A,핵심 KPI 8건 완료한 것이 주요 성과입니다. 특히 팀 전체 생산성 향상에 기여한 점이 의미 있었습니다.,2010-04-16 12:18:00,B,평균적인 성과입니다. 기술적 역량 보완 필요. 개선 계획 수립하겠습니다.,1,완료
CR00004,EMP000,수시 평가,2011-12-08,2012-01-10,2012-01-13 10:31:00,S,핵심 KPI 5건 완료한 것이 주요 성과입니다. 특히 프로세스 혁신안 제안 및 적용한 점이 의미 있었습니다.,2012-01-20 13:43:00,S,"목표를 125% 초과 달성하는 탁월한 성과를 보였습니다. 이해관계자들로부터 극찬했으며, 차세대 리더로 육성 필요.",0,완료
CR00005,EMP000,프로젝트 종료 평가,2012-08-04,2012-10-28,2012-10-30 09:46:00,S,품질 지표 35% 향상한 것이 주요 성과입니다. 특히 어려운 기술 이슈를 독자적으로 해결한 점이 의미 있었습니다.,2012-11-09 12:51:00,A,"전반적으로 만족스러운 성과입니다. 기술적 깊이에서 강점을 보였으나, 타 팀 협업 강화 시 S등급 기대.",1,완료
CR00006,EMP000,분기 평가,2012-04-25,2012-07-28,2012-08-01 17:05:00,A,이번 평가 기간의 핵심 성과는 분기 목표 105% 달성입니다. 또한 업무 효율화로 팀 전체 시간 20% 절감했습니다.,2012-08-09 09:59:00,A,이해관계자 기대 부응하는 우수한 성과. 차기 프로젝트 핵심 역할 기대.,0,완료
CR00007,EMP000,프로젝트 종료 평가,2009-11-27,2010-02-20,2010-02-25 17:03:00,B,"신규 입사자 4명 지원하며 팀워크를 강화했고, 분기 목표 120% 달성하는 성과를 냈습니다. 향후 리더 포지션에 도전하고 싶습니다.",2010-03-03 10:32:00,B,"기본 책임 이행했으나, 선제적 대응이 필요합니다. 다음 평가에서는 자기주도적 개선 기대.",0,완료
CR00008,EMP000,수시 평가,2012-08-18,2012-09-26,2012-10-03 17:29:00,A,"투명한 정보 공유로 협업 효율성 증대하며 팀워크를 강화했고, 혁신 과제 일정 대비 7일 조기 완료하는 성과를 냈습니다. 향후 리더 포지션에 도전하고 싶습니다.",2012-10-11 09:09:00,B,"맡은 업무는 수행했으나, 보다 적극적인 태도이 필요합니다. 다음 평가에서는 성과 제고 기대.",1,완료
CR00009,EMP000,분기 평가,2012-09-19,2012-11-27,2012-11-30 15:11:00,B,혁신 과제 일정 대비 18일 조기 완료한 것이 주요 성과입니다. 특히 어려운 기술 이슈를 독자적으로 해결한 점이 의미 있었습니다.,2012-12-05 16:34:00,B,"주어진 역할 완수했으나, 능동적인 문제 해결이 필요합니다. 다음 평가에서는 자기주도적 개선 기대.",0,완료
CR00010,EMP000,목표 달성 평가,2011-01-10,2011-04-02,2011-04-09 11:37:00,B,이번 평가 기간의 핵심 성과는 분기 목표 111% 달성입니다. 또한 고객 만족도 점수 상승에 기여했습니다.,2011-04-15 09:14:00,B,기본 목표는 달성했으나 일정이 다소 지연한 부분이 있습니다. 적극성 제고 권장.,0,완료
