goal_id,employee_id,goal_type,goal_category,goal_description,target_period,set_date,target_completion_date,progress_percentage,status,final_achievement_rate,manager_id
GOAL00001,EMP000,MBO,역량 개발,Python 역량 강화 교육 이수,2022 Q1,2022-01-05,2022-04-05,89,완료,89.0,
GOAL00002,EMP000,KPI,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q1,2022-01-05,2022-04-05,88,완료,88.0,
GOAL00003,EMP000,KPI,프로젝트 완수,프로젝트 목표 품질 기준 92% 달성,2022 Q1,2022-01-05,2022-04-05,78,부분 달성,,
GOAL00004,EMP000,KPI,업무 성과,매출 25% 향상,2022 Q2,2022-04-06,2022-07-05,87,완료,87.0,
GOAL00005,EMP000,MBO,업무 성과,고객 만족도 16% 향상,2022 Q2,2022-04-06,2022-07-05,71,부분 달성,,
GOAL00006,EMP000,OKR,업무 성과,핵심 업무 지표 목표치 98% 달성,2022 Q2,2022-04-06,2022-07-05,95,완료,95.0,
GOAL00007,EMP000,MBO,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2022 Q3,2022-07-03,2022-10-01,71,부분 달성,,
GOAL00008,EMP000,OKR,프로젝트 완수,구축 프로젝트 일정 내 완수,2022 Q3,2022-07-03,2022-10-01,75,부분 달성,,
GOAL00009,EMP000,OKR,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2022 Q3,2022-07-03,2022-10-01,92,완료,92.0,
GOAL00010,EMP000,KPI,프로세스 개선,업무 프로세스 효율성 24% 개선,2022 Q4,2022-10-02,2022-12-31,91,완료,91.0,
GOAL00011,EMP000,KPI,협업 강화,크로스 팀 협업 프로젝트 5건 이상 참여,2022 Q4,2022-10-02,2022-12-31,98,완료,98.0,
GOAL00012,EMP000,KPI,프로젝트 완수,구축 프로젝트 일정 내 완수,2023 Q1,2023-01-05,2023-04-05,77,부분 달성,,
GOAL00013,EMP000,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2023 Q1,2023-01-05,2023-04-05,70,부분 달성,,
GOAL00014,EMP000,KPI,프로세스 개선,업무 프로세스 효율성 27% 개선,2023 Q1,2023-01-05,2023-04-05,76,부분 달성,,
GOAL00015,EMP000,KPI,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2023 Q1,2023-01-05,2023-04-05,86,완료,86.0,
GOAL00016,EMP000,OKR,프로젝트 완수,프로젝트 목표 품질 기준 91% 달성,2023 Q2,2023-04-05,2023-07-04,84,완료,84.0,
GOAL00017,EMP000,OKR,역량 개발,데이터 분석 역량 강화 교육 이수,2023 Q2,2023-04-05,2023-07-04,96,완료,96.0,
GOAL00018,EMP000,MBO,프로세스 개선,업무 프로세스 효율성 28% 개선,2023 Q2,2023-04-05,2023-07-04,87,완료,87.0,
GOAL00019,EMP000,OKR,프로젝트 완수,구축 프로젝트 일정 내 완수,2023 Q3,2023-07-06,2023-10-04,82,완료,82.0,
GOAL00020,EMP000,OKR,프로젝트 완수,프로젝트 목표 품질 기준 91% 달성,2023 Q3,2023-07-06,2023-10-04,94,완료,94.0,
GOAL00021,EMP000,MBO,업무 성과,생산성 16% 향상,2023 Q3,2023-07-06,2023-10-04,89,완료,89.0,
GOAL00022,EMP000,OKR,프로젝트 완수,개발 프로젝트 일정 내 완수,2023 Q3,2023-07-06,2023-10-04,99,완료,99.0,
GOAL00023,EMP000,MBO,혁신 과제,신규 아이디어 제안 및 실행 2건,2023 Q4,2023-10-06,2024-01-04,77,부분 달성,,
GOAL00024,EMP000,OKR,프로젝트 완수,개발 프로젝트 일정 내 완수,2023 Q4,2023-10-06,2024-01-04,99,완료,99.0,
GOAL00025,EMP000,MBO,혁신 과제,신규 아이디어 제안 및 실행 3건,2023 Q4,2023-10-06,2024-01-04,99,완료,99.0,
GOAL00026,EMP000,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q1,2024-01-04,2024-04-03,88,완료,88.0,
GOAL00027,EMP000,MBO,혁신 과제,신규 아이디어 제안 및 실행 2건,2024 Q1,2024-01-04,2024-04-03,81,완료,81.0,
GOAL00028,EMP000,KPI,업무 성과,핵심 업무 지표 목표치 116% 달성,2024 Q2,2024-04-02,2024-07-01,97,완료,97.0,
GOAL00029,EMP000,OKR,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q2,2024-04-02,2024-07-01,86,완료,86.0,
GOAL00030,EMP000,MBO,혁신 과제,신규 아이디어 제안 및 실행 1건,2024 Q2,2024-04-02,2024-07-01,97,완료,97.0,
GOAL00031,EMP000,OKR,업무 성과,생산성 16% 향상,2024 Q2,2024-04-02,2024-07-01,99,완료,99.0,
GOAL00032,EMP000,OKR,협업 강화,크로스 팀 협업 프로젝트 2건 이상 참여,2024 Q3,2024-07-05,2024-10-03,85,완료,85.0,
GOAL00033,EMP000,KPI,프로젝트 완수,개선 프로젝트 일정 내 완수,2024 Q3,2024-07-05,2024-10-03,81,완료,81.0,
GOAL00034,EMP000,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q3,2024-07-05,2024-10-03,70,부분 달성,,
GOAL00035,EMP000,OKR,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2024 Q4,2024-10-05,2025-01-03,96,완료,96.0,
GOAL00036,EMP000,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2024 Q4,2024-10-05,2025-01-03,98,완료,98.0,
GOAL00037,EMP000,MBO,프로젝트 완수,구축 프로젝트 일정 내 완수,2024 Q4,2024-10-05,2025-01-03,92,완료,92.0,
GOAL00038,EMP000,OKR,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2024 Q4,2024-10-05,2025-01-03,95,완료,95.0,
GOAL00039,DIV001,MBO,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2022 Q1,2022-01-04,2022-04-04,73,부분 달성,,EMP000
GOAL00040,DIV001,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q1,2022-01-04,2022-04-04,81,완료,81.0,EMP000
GOAL00041,DIV001,OKR,업무 성과,핵심 업무 지표 목표치 99% 달성,2022 Q2,2022-04-04,2022-07-03,83,완료,83.0,EMP000
GOAL00042,DIV001,MBO,프로세스 개선,업무 프로세스 효율성 18% 개선,2022 Q2,2022-04-04,2022-07-03,87,완료,87.0,EMP000
GOAL00043,DIV001,OKR,업무 성과,품질 13% 향상,2022 Q3,2022-07-06,2022-10-04,71,부분 달성,,EMP000
GOAL00044,DIV001,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2022 Q3,2022-07-06,2022-10-04,96,완료,96.0,EMP000
GOAL00045,DIV001,KPI,프로젝트 완수,프로젝트 목표 품질 기준 93% 달성,2022 Q3,2022-07-06,2022-10-04,96,완료,96.0,EMP000
GOAL00046,DIV001,MBO,혁신 과제,혁신 활동을 통한 비용 절감 또는 수익 창출,2022 Q4,2022-10-06,2023-01-04,70,부분 달성,,EMP000
GOAL00047,DIV001,KPI,협업 강화,크로스 팀 협업 프로젝트 2건 이상 참여,2022 Q4,2022-10-06,2023-01-04,98,완료,98.0,EMP000
GOAL00048,DIV001,KPI,업무 성과,고객 만족도 16% 향상,2022 Q4,2022-10-06,2023-01-04,86,완료,86.0,EMP000
GOAL00049,DIV001,MBO,역량 개발,신규 기술 스택 학습 및 프로젝트 적용,2023 Q1,2023-01-07,2023-04-07,72,부분 달성,,EMP000
GOAL00050,DIV001,MBO,협업 강화,지식 공유 세션 주도 및 팀 역량 향상 기여,2023 Q1,2023-01-07,2023-04-07,92,완료,92.0,EMP000
GOAL00051,DIV001,KPI,프로세스 개선,업무 프로세스 효율성 32% 개선,2023 Q1,2023-01-07,2023-04-07,88,완료,88.0,EMP000
GOAL00052,DIV001,KPI,프로젝트 완수,프로젝트 목표 품질 기준 95% 달성,2023 Q2,2023-04-03,2023-07-02,80,완료,80.0,EMP000
GOAL00053,DIV001,MBO,프로젝트 완수,프로젝트 목표 품질 기준 92% 달성,2023 Q2,2023-04-03,2023-07-02,75,부분 달성,,EMP000
GOAL00054,DIV001,MBO,혁신 과제,신규 아이디어 제안 및 실행 3건,2023 Q3,2023-07-03,2023-10-01,73,부분 달성,,EMP000
