survey_id,employee_id,org_id,org_name,division_name,survey_year,survey_date,q_psychological_safety,q_trust_in_leadership,q_collaboration,q_innovation_encouragement,q_work_life_balance,q_recognition,q_fairness,overall_team_satisfaction,qualitative_comment,would_recommend_team
TCULTURE00001,EMP000,ORG000,넥스트젠 테크놀로지스,대표이사,2023,2023-10-08,3.0,4.6,3.3,3.3,3.3,3.2,3.1,3.4,팀 분위기가 개선이 시급합니다. 핵심 인재 이탈로 인해 문화 혁신 시급 상황입니다.,3.2
TCULTURE00002,EMP000,ORG000,넥스트젠 테크놀로지스,대표이사,2024,2024-10-07,2.8,3.1,4.5,3.9,4.0,4.1,4.4,3.8,의사결정 과정이 불투명합니다. 역할과 책임 명확화이 필요합니다.,2.6
TCULTURE00003,DIV001,ORG100,경영지원본부,경영지원본부,2023,2023-10-25,2.9,3.1,3.3,3.3,3.3,3.6,3.5,3.3,불공정한 평가됩니다. 팀 문화 개선을 위한 HR 개입이 필요해 보입니다.,3.1
TCULTURE00004,DIV001,ORG100,경영지원본부,경영지원본부,2024,2024-10-11,2.4,3.0,3.2,3.4,2.9,3.3,2.9,3.0,업무 분배가 불균형하다고 느낍니다. 역할과 책임 명확화이 필요합니다.,3.4
TCULTURE00005,DIV002,ORG200,기술본부,기술본부,2023,2023-10-13,3.0,3.1,2.8,3.4,3.1,4.0,3.7,3.3,팀 분위기가 예전만 못합니다. 리더 신뢰 문제로 인해 구성원 의견 청취 상황입니다.,3.5
TCULTURE00006,DIV002,ORG200,기술본부,기술본부,2024,2024-10-18,3.1,3.7,3.8,3.6,4.3,3.7,4.0,3.7,팀 분위기가 예전만 못합니다. 핵심 인재 이탈로 인해 문화 혁신 시급 상황입니다.,3.6
TCULTURE00007,DIV003,ORG300,비즈니스본부,비즈니스본부,2023,2023-10-03,3.8,3.1,3.3,3.7,3.7,3.8,4.1,3.6,의사결정 과정이 불투명합니다. 리더의 적극적 소통이 필요합니다.,2.8
TCULTURE00008,DIV003,ORG300,비즈니스본부,비즈니스본부,2024,2024-11-15,3.0,3.6,3.1,5.0,3.8,3.5,3.2,3.6,성과 인정이 부족됩니다. 팀 문화 개선을 위한 솔직한 대화의 장이 필요해 보입니다.,3.3
TCULTURE00009,TL001,ORG101,HR팀,경영지원본부,2023,2023-10-09,4.0,4.0,3.8,3.9,4.5,4.6,4.1,4.1,"팀 분위기는 좋은 편입니다. 공정한 평가은 좋으나, 프로세스 개선 측면에서 개선 여지가 있습니다.",3.5
TCULTURE00010,TL001,ORG101,HR팀,경영지원본부,2024,2024-11-03,4.2,4.6,4.5,4.3,4.6,4.0,4.3,4.4,전반적으로 신뢰할 수 있는 팀입니다. 더 많은 도전 기회이 보완되면 excellent한 팀이 될 것입니다.,3.7
TCULTURE00011,TL002,ORG102,재무팀,경영지원본부,2023,2023-11-17,4.6,4.9,4.3,4.2,4.5,4.4,4.7,4.5,팀장님이 팀원의 성장을 진심으로 지원해주십니다. 성과는 공정하게 인정하고해주셔서 감사합니다.,4.4
TCULTURE00012,TL002,ORG102,재무팀,경영지원본부,2024,2024-10-08,5.0,4.1,4.9,4.3,4.0,4.6,4.4,4.5,팀장님이 공정하고 투명하게 의사결정해주십니다. 개인 사정도 배려해주셔서 감사합니다.,4.2
TCULTURE00013,TL003,ORG201,AI솔루션개발팀,기술본부,2023,2023-11-04,2.7,3.5,4.0,3.8,3.5,3.7,3.5,3.5,팀 비전이 명확하지 않습니다. 역할과 책임 명확화이 필요합니다.,2.8
TCULTURE00014,TL003,ORG201,AI솔루션개발팀,기술본부,2024,2024-10-10,2.8,3.4,3.4,3.9,3.9,3.8,3.4,3.5,팀 비전이 명확하지 않습니다. 리더의 적극적 소통이 필요합니다.,2.8
