meeting_id,employee_id,manager_id,meeting_datetime,duration_minutes,discussion_topics,action_items,next_meeting_scheduled,employee_satisfaction_score,meeting_status
MTG000001,DIV001,EMP000,2023-01-09 10:30:00,45,성과 목표 검토 및 조정 | 교육 및 개발 기회 논의,목표 수정 | 이번 달 내 실행,2023-02-12,4.6,완료
MTG000002,DIV001,EMP000,2023-02-27 14:00:00,60,개인 역량 개발 계획 | 성과 목표 검토 및 조정,이번 달 내 검토 | 피드백 반영,2023-04-03,4.7,완료
MTG000003,DIV001,EMP000,2023-03-07 13:00:00,60,교육 및 개발 기회 논의 | 최근 프로젝트 피드백 | 차기 평가 준비,프로젝트 배정,2023-04-04,4.6,완료
MTG000004,DIV001,EMP000,2023-04-23 10:00:00,60,업무 관련 어려움 및 지원 사항 | 교육 및 개발 기회 논의 | 성과 목표 검토 및 조정,다음 주까지 실행,2023-05-25,4.7,완료
MTG000005,DIV001,EMP000,2023-05-20 10:00:00,60,성과 목표 검토 및 조정 | 개인 역량 개발 계획 | 업무 진행 상황 점검,프로젝트 배정,2023-06-18,3.8,완료
MTG000006,DIV001,EMP000,2023-06-01 13:30:00,45,업무 만족도 및 고충 상담 | 성과 목표 검토 및 조정,목표 수정 | 다음 주까지 완료,2023-07-02,4.1,완료
MTG000007,DIV001,EMP000,2023-07-11 13:30:00,60,성과 목표 검토 및 조정 | 차기 평가 준비 | 개인 역량 개발 계획,이번 달 내 검토,2023-08-05,4.9,완료
MTG000008,DIV001,EMP000,2023-08-22 11:00:00,60,개인 역량 개발 계획 | 최근 프로젝트 피드백 | 업무 관련 어려움 및 지원 사항,교육 신청 | 다음 주까지 검토,2023-09-20,3.8,완료
MTG000009,DIV001,EMP000,2023-09-03 11:00:00,30,업무 만족도 및 고충 상담 | 개인 역량 개발 계획,다음 주까지 실행,2023-10-03,3.7,완료
MTG000010,DIV001,EMP000,2023-10-06 15:00:00,45,개인 역량 개발 계획 | 팀 협업 및 커뮤니케이션,프로젝트 배정 | 다음 분기까지 실행,2023-11-04,5.0,완료
MTG000011,DIV001,EMP000,2023-11-10 12:00:00,60,개인 역량 개발 계획 | 최근 프로젝트 피드백,이번 달 내 완료 | 피드백 반영,2023-12-06,4.4,완료
MTG000012,DIV001,EMP000,2023-11-28 11:30:00,45,최근 프로젝트 피드백 | 업무 만족도 및 고충 상담,교육 신청 | 다음 주까지 실행,2024-01-01,4.5,완료
MTG000013,DIV001,EMP000,2024-01-05 16:30:00,60,업무 관련 어려움 및 지원 사항 | 팀 협업 및 커뮤니케이션,다음 주까지 실행,2024-02-04,4.0,완료
MTG000014,DIV001,EMP000,2024-02-12 14:30:00,60,업무 관련 어려움 및 지원 사항 | 커리어 개발 논의,다음 주까지 실행,2024-03-15,4.1,완료
MTG000015,DIV001,EMP000,2024-03-05 15:00:00,45,커리어 개발 논의 | 업무 만족도 및 고충 상담 | 업무 관련 어려움 및 지원 사항,피드백 반영 | 이번 달 내 검토,2024-04-08,4.4,완료
MTG000016,DIV001,EMP000,2024-04-05 11:00:00,60,개인 역량 개발 계획 | 업무 진행 상황 점검 | 차기 평가 준비,다음 분기까지 실행 | 프로젝트 배정,2024-05-08,4.8,완료
MTG000017,DIV001,EMP000,2024-05-11 14:30:00,30,팀 협업 및 커뮤니케이션 | 업무 관련 어려움 및 지원 사항 | 교육 및 개발 기회 논의,다음 주까지 검토,2024-06-06,5.0,완료
MTG000018,DIV001,EMP000,2024-06-13 14:00:00,30,교육 및 개발 기회 논의 | 개인 역량 개발 계획 | 팀 협업 및 커뮤니케이션,프로젝트 배정,2024-07-09,4.6,완료
MTG000019,DIV001,EMP000,2024-07-22 14:30:00,45,교육 및 개발 기회 논의 | 팀 협업 및 커뮤니케이션,역량 개발 계획 수립,2024-08-19,4.6,완료
MTG000020,DIV001,EMP000,2024-08-10 16:30:00,45,차기 평가 준비 | 성과 목표 검토 및 조정 | 개인 역량 개발 계획,이번 달 내 실행,2024-09-14,3.8,완료
MTG000021,DIV001,EMP000,2024-09-10 11:00:00,60,업무 만족도 및 고충 상담 | 차기 평가 준비 | 팀 협업 및 커뮤니케이션,교육 신청,2024-10-09,4.0,완료
MTG000022,DIV001,EMP000,2024-10-17 10:00:00,30,성과 목표 검토 및 조정 | 업무 관련 어려움 및 지원 사항,다음 주까지 검토,2024-11-21,4.8,완료
MTG000023,DIV001,EMP000,2024-10-25 13:30:00,60,업무 진행 상황 점검 | 성과 목표 검토 및 조정,이번 달 내 검토,2024-11-23,3.5,완료
MTG000024,DIV001,EMP000,2024-11-27 12:00:00,60,개인 역량 개발 계획 | 팀 협업 및 커뮤니케이션,피드백 반영,2024-12-31,4.9,완료
MTG000025,DIV001,EMP000,2025-01-11 11:30:00,45,성과 목표 검토 및 조정 | 개인 역량 개발 계획 | 업무 진행 상황 점검,목표 수정,2025-02-08,3.7,완료
MTG000026,DIV001,EMP000,2025-02-10 16:00:00,30,성과 목표 검토 및 조정 | 최근 프로젝트 피드백,피드백 반영 | 이번 달 내 완료,2025-03-10,4.0,완료
MTG000027,DIV001,EMP000,2025-03-12 14:30:00,30,커리어 개발 논의 | 업무 관련 어려움 및 지원 사항,이번 달 내 완료 | 피드백 반영,2025-04-08,4.5,완료
MTG000028,DIV001,EMP000,2025-04-12 12:30:00,60,업무 만족도 및 고충 상담 | 최근 프로젝트 피드백 | 교육 및 개발 기회 논의,프로젝트 배정,2025-05-08,4.5,완료
MTG000029,DIV001,EMP000,2025-05-15 11:30:00,45,업무 진행 상황 점검 | 차기 평가 준비 | 개인 역량 개발 계획,프로젝트 배정,2025-06-19,3.9,완료
MTG000030,DIV001,EMP000,2025-06-15 15:00:00,45,성과 목표 검토 및 조정 | 개인 역량 개발 계획 | 최근 프로젝트 피드백,역량 개발 계획 수립 | 다음 주까지 검토,2025-07-10,4.6,완료
MTG000031,DIV001,EMP000,2025-06-20 14:30:00,45,성과 목표 검토 및 조정 | 최근 프로젝트 피드백,목표 수정 | 다음 주까지 검토,2025-07-19,3.9,완료
MTG000032,DIV001,EMP000,2025-08-06 15:00:00,45,팀 협업 및 커뮤니케이션 | 성과 목표 검토 및 조정 | 업무 진행 상황 점검,다음 주까지 완료,2025-09-03,4.3,완료
MTG000033,DIV001,EMP000,2025-09-05 15:00:00,45,개인 역량 개발 계획 | 팀 협업 및 커뮤니케이션 | 업무 관련 어려움 및 지원 사항,다음 주까지 검토,2025-10-09,4.7,완료
MTG000034,DIV001,EMP000,2025-10-08 16:00:00,45,업무 관련 어려움 및 지원 사항 | 팀 협업 및 커뮤니케이션 | 교육 및 개발 기회 논의,다음 주까지 실행 | 목표 수정,2025-11-08,4.9,완료
MTG000035,DIV001,EMP000,2025-11-07 12:30:00,60,업무 관련 어려움 및 지원 사항 | 성과 목표 검토 및 조정 | 최근 프로젝트 피드백,다음 분기까지 실행,2025-12-11,3.8,완료
MTG000036,DIV002,EMP000,2023-01-03 12:00:00,45,차기 평가 준비 | 커리어 개발 논의,이번 달 내 검토,2023-01-31,4.2,완료
